folder	files	txt	ps1	py	sh	bat	js	c
phishing	6	4	1	0	0	0	0	0
Phone	27	26	0	0	0	0	0	0
Physical_Rick_Roll	1	1	0	0	0	0	0	0
Piano_Player	5	4	0	1	0	0	0	0
PingMe	1	1	0	0	0	0	0	0
PingZhellDucky	2	1	0	0	0	0	0	0
Play_A_Song_On_An_iPhone	1	1	0	0	0	0	0	0
PlayASongThroughSpotify_Windows	1	1	0	0	0	0	0	0
PoC_Discord_Webhook	1	1	0	0	0	0	0	0
Poor_Mans_Nmap	1	1	0	0	0	0	0	0
Power-Imperial	1	1	0	0	0	0	0	0
Powershell-History	2	1	1	0	0	0	0	0
Pranh(ex)	3	2	0	1	0	0	0	0
prank	115	106	4	0	0	0	0	0
Prank_In_The_Middle_Thunderbird	1	1	0	0	0	0	0	0
Pranks	19	19	0	0	0	0	0	0
Printer-Recon	2	1	1	0	0	0	0	0
Priv-Paths	1	1	0	0	0	0	0	0
ProcessTerminator	1	1	0	0	0	0	0	0
protected_storage_mode	1	1	0	0	0	0	0	0
Proton-Hog	2	1	1	0	0	0	0	0
ProtonVPN-config	2	1	1	0	0	0	0	0
Public-IP-Grabber	1	1	0	0	0	0	0	0
PUBLIC-SERVICE-ANNOUNCEMENT	2	2	0	0	0	0	0	0
Pwn-Drive	2	1	1	0	0	0	0	0
PWN3D FAST	1	1	0	0	0	0	0	0
pwn3d windows prank	1	1	0	0	0	0	0	0
qFlipper-windows	1	1	0	0	0	0	0	0
Quack_Rolled	1	1	0	0	0	0	0	0
quackberry	9	8	0	0	0	0	0	0
QuacKed_Again	1	1	0	0	0	0	0	0
random-letters	1	1	0	0	0	0	0	0
Randomization	4	4	0	0	0	0	0	0
Randomizing_User-Agent_in_Google_Chrome	2	1	0	0	1	0	0	0
RanFunWare	2	1	1	0	0	0	0	0
ratlocker	2	1	0	0	0	1	0	0
recon	12	9	1	0	0	2	0	0
Record-Mic-to-Discord	2	1	1	0	0	0	0	0
Record-Screen-GUI	2	1	1	0	0	0	0	0
Record-Screen-to-Discord	2	1	1	0	0	0	0	0
RegDoor	1	1	0	0	0	0	0	0
remote_access	24	20	0	0	1	0	0	0
Replace_Links_In_GithubDesktop	1	1	0	0	0	0	0	0
Resolution_Prank	1	1	0	0	0	0	0	0
Reverse Shells and C2	2	2	0	0	0	0	0	0
ReverseDucky	1	1	0	0	0	0	0	0
ReverseDuckyII	1	1	0	0	0	0	0	0
ReverseDuckyIII	1	1	0	0	0	0	0	0
ReverseDuckyPolymorph	1	1	0	0	0	0	0	0
ReverseDuckyUltimate	1	1	0	0	0	0	0	0
ReverseShell	2	2	0	0	0	0	0	0
Rick_Rolling_Forever	1	1	0	0	0	0	0	0
rickroll	1	1	0	0	0	0	0	0
RickRoll (Basic)	1	1	0	0	0	0	0	0
