path	category	name	device_type	uid
BruceRFID/Amiibo/Other/Qbby.nfc	Amiibo	Qbby	NTAG215	04 38 6E DA 42 72 4C
BruceRFID/Amiibo/Other/Chibi_Robo.nfc	Amiibo	Chibi_Robo	NTAG215	04 70 3F C3 9A 57 49
BruceRFID/Amiibo/Other/Sonic.nfc	Amiibo	Sonic	NTAG215	04 42 62 AC 7A 04 3F
BruceRFID/Amiibo/Other/Pikmin.nfc	Amiibo	Pikmin	NTAG215	04 22 D5 7B 4A 31 4C
BruceRFID/Amiibo/Super_Mario/Mario.nfc	Amiibo	Mario	NTAG215	04 77 EE 15 7A 04 3F
BruceRFID/Amiibo/Super_Mario/Cat_Peach.nfc	Amiibo	Cat_Peach	NTAG215	04 10 F6 6A EA FA 6B
BruceRFID/Amiibo/Super_Mario/Boo.nfc	Amiibo	Boo	NTAG215	04 51 F0 2D 52 30 4D
BruceRFID/Amiibo/Super_Mario/Goomba.nfc	Amiibo	Goomba	NTAG215	04 F5 8E F7 DA 1B 4E
BruceRFID/Amiibo/Super_Mario/Rosalina.nfc	Amiibo	Rosalina	NTAG215	04 D7 02 59 3A EA 4C
BruceRFID/Amiibo/Super_Mario/Waluigi.nfc	Amiibo	Waluigi	NTAG215	04 41 59 94 CA E0 49
BruceRFID/Amiibo/Super_Mario/Yoshi.nfc	Amiibo	Yoshi	NTAG215	04 6D FA 1B 62 6F 40
BruceRFID/Amiibo/Super_Mario/Mario_Gold_Edition.nfc	Amiibo	Mario_Gold_Edition	NTAG215	04 BA F7 C1 42 6F 40
BruceRFID/Amiibo/Super_Mario/Mario_Wedding.nfc	Amiibo	Mario_Wedding	NTAG215	04 B8 84 B0 2A 1B 4E
BruceRFID/Amiibo/Super_Mario/Wario.nfc	Amiibo	Wario	NTAG215	04 1F 59 CA 7A DD 4C
BruceRFID/Amiibo/Super_Mario/Peach_Wedding.nfc	Amiibo	Peach_Wedding	NTAG215	04 7A B3 45 C2 E9 4C
BruceRFID/Amiibo/Super_Mario/Koopa_Troopa.nfc	Amiibo	Koopa_Troopa	NTAG215	04 2E D8 7A C2 E9 4C
BruceRFID/Amiibo/Super_Mario/Mario_Silver_Edition.nfc	Amiibo	Mario_Silver_Edition	NTAG215	04 8B 2F 28 12 70 40
BruceRFID/Amiibo/Super_Mario/Bowser_Wedding.nfc	Amiibo	Bowser_Wedding	NTAG215	04 62 B7 59 22 1B 4E
BruceRFID/Amiibo/Super_Mario/Toad.nfc	Amiibo	Toad	NTAG215	04 23 15 BA 52 04 3F
BruceRFID/Amiibo/Super_Mario/Cat_Mario.nfc	Amiibo	Cat_Mario	NTAG215	04 41 81 4C 12 FB 6B
BruceRFID/Amiibo/Super_Mario/Donkey_Kong.nfc	Amiibo	Donkey_Kong	NTAG215	04 4B 63 A4 42 46 4B
BruceRFID/Amiibo/Super_Mario/Peach.nfc	Amiibo	Peach	NTAG215	04 4E 68 AA F2 71 40
BruceRFID/Amiibo/Super_Mario/Bowser.nfc	Amiibo	Bowser	NTAG215	04 51 91 4C E2 6F 40
BruceRFID/Amiibo/Super_Mario/Daisy.nfc	Amiibo	Daisy	NTAG215	04 48 AE 6A 72 ED 4A
BruceRFID/Amiibo/Super_Mario/Luigi.nfc	Amiibo	Luigi	NTAG215	04 A0 99 B5 02 70 40
BruceRFID/Amiibo/Super_Mario/Diddy_Kong.nfc	Amiibo	Diddy_Kong	NTAG215	04 90 A9 B5 D2 ED 4C
BruceRFID/Amiibo/Super_Smash_Bros/Pit.nfc	Amiibo	Pit	NTAG215	04 79 A8 5D 22 FE 3D
BruceRFID/Amiibo/Super_Smash_Bros/[SSB]_59_-_Corrin.nfc	Amiibo	[SSB]_59_-_Corrin	NTAG215	04 A2 59 4E C7 31 EA
BruceRFID/Amiibo/Super_Smash_Bros/Bowser_Jr.nfc	Amiibo	Bowser_Jr	NTAG215	04 AE 0D 2F A2 A1 40
BruceRFID/Amiibo/Super_Smash_Bros/[SSB]_72_-_Pichu.nfc	Amiibo	[SSB]_72_-_Pichu	NTAG215	04 12 93 91 C9 92 22
BruceRFID/Amiibo/Super_Smash_Bros/[SSB]_83_-_Joker.nfc	Amiibo	[SSB]_83_-_Joker	NTAG215	04 12 FC 32 16 24 B9
BruceRFID/Amiibo/Super_Smash_Bros/[SSB]_77_-_Squirtle.nfc	Amiibo	[SSB]_77_-_Squirtle	NTAG215	04 4D 5B 8B F1 F1 E3
BruceRFID/Amiibo/Super_Smash_Bros/Samus.nfc	Amiibo	Samus	NTAG215	04 82 22 2C 6A BD 3C
BruceRFID/Amiibo/Super_Smash_Bros/Rosalina_Luma.nfc	Amiibo	Rosalina_Luma	NTAG215	04 7B CC 3B 32 62 3E
BruceRFID/Amiibo/Super_Smash_Bros/[SSB]_82_-_Richter.nfc	Amiibo	[SSB]_82_-_Richter	NTAG215	04 A4 EB 13 8D CC E1
BruceRFID/Amiibo/Super_Smash_Bros/Meta_Knight.nfc	Amiibo	Meta_Knight	NTAG215	04 99 75 60 F2 C6 40
BruceRFID/Amiibo/Super_Smash_Bros/Fox.nfc	Amiibo	Fox	NTAG215	04 71 C3 3E 82 99 3C
BruceRFID/Amiibo/Super_Smash_Bros/[SSB]_54_-_R.O.B._(Famicom).nfc	Amiibo	[SSB]_54_-_R.O.B._(Famicom)	NTAG215	04 81 EB 51 12 C0 97
BruceRFID/Amiibo/Super_Smash_Bros/[SSB]_06_-_Fox.nfc	Amiibo	[SSB]_06_-_Fox	NTAG215	04 E0 6C 5C AC 28 EF
BruceRFID/Amiibo/Super_Smash_Bros/Mr_Game_Watch.nfc	Amiibo	Mr_Game_Watch	NTAG215	04 B3 12 2D 23 10 02
BruceRFID/Amiibo/Super_Smash_Bros/[SSB]_14_-_Diddy_Kong.nfc	Amiibo	[SSB]_14_-_Diddy_Kong	NTAG215	04 34 2D 24 9C D3 11
BruceRFID/Amiibo/Super_Smash_Bros/[SSB]_86_-_Terry.nfc	Amiibo	[SSB]_86_-_Terry	NTAG215	04 0F CC C0 CC 64 CB
BruceRFID/Amiibo/Super_Smash_Bros/[SSB]_46_-_R.O.B._(NES).nfc	Amiibo	[SSB]_46_-_R.O.B._(NES)	NTAG215	04 C2 14 F6 6B D8 1A
BruceRFID/Amiibo/Super_Smash_Bros/Mii_Gunner.nfc	Amiibo	Mii_Gunner	NTAG215	04 14 CE 56 2E 10 02
BruceRFID/Amiibo/Super_Smash_Bros/Mythra.nfc	Amiibo	Mythra	NTAG215	04 A2 45 4A 59 E2 34
BruceRFID/Amiibo/Super_Smash_Bros/[SSB]_22_-_Toon_Link.nfc	Amiibo	[SSB]_22_-_Toon_Link	NTAG215	04 BB F0 94 CF 12 27
BruceRFID/Amiibo/Super_Smash_Bros/Chrom.nfc	Amiibo	Chrom	NTAG215	04 34 24 9C 2A AC 65
BruceRFID/Amiibo/Super_Smash_Bros/[SSB]_37_-_Jigglypuff.nfc	Amiibo	[SSB]_37_-_Jigglypuff	NTAG215	04 88 16 F7 DC 06 01
BruceRFID/Amiibo/Super_Smash_Bros/Squirtle.nfc	Amiibo	Squirtle	NTAG215	04 EA 38 5E 72 29 5E
BruceRFID/Amiibo/Super_Smash_Bros/Ice_Climbers.nfc	Amiibo	Ice_Climbers	NTAG215	04 5A 3C EA 82 B7 5D
BruceRFID/Amiibo/Super_Smash_Bros/[SSB]_32_-_Wario.nfc	Amiibo	[SSB]_32_-_Wario	NTAG215	04 1E 68 2E 24 8C E9
BruceRFID/Amiibo/Super_Smash_Bros/Palutena.nfc	Amiibo	Palutena	NTAG215	04 87 EC E7 62 E8 4C
BruceRFID/Amiibo/Super_Smash_Bros/Zero_Suit_Samus.nfc	Amiibo	Zero_Suit_Samus	NTAG215	04 1B 68 FF A2 A1 40
BruceRFID/Amiibo/Super_Smash_Bros/Dark_Pit.nfc	Amiibo	Dark_Pit	NTAG215	04 31 61 DC 92 54 49
BruceRFID/Amiibo/Super_Smash_Bros/[SSB]_19_-_Rosalina.nfc	Amiibo	[SSB]_19_-_Rosalina	NTAG215	04 24 6C BE E0 D8 04
BruceRFID/Amiibo/Super_Smash_Bros/Mario.nfc	Amiibo	Mario	NTAG215	04 64 7F 97 62 98 3C
BruceRFID/Amiibo/Super_Smash_Bros/[SSB]_24_-_Ike.nfc	Amiibo	[SSB]_24_-_Ike	NTAG215	04 0B D4 7E 7F F9 96
BruceRFID/Amiibo/Super_Smash_Bros/ROB_Famicom.nfc	Amiibo	ROB_Famicom	NTAG215	04 D7 0D 56 0A 3B 40
BruceRFID/Amiibo/Super_Smash_Bros/[SSB]_25_-_Shulk.nfc	Amiibo	[SSB]_25_-_Shulk	NTAG215	04 4C F6 F1 A2 4B 69
BruceRFID/Amiibo/Super_Smash_Bros/[SSB]_01_-_Mario.nfc	Amiibo	[SSB]_01_-_Mario	NTAG215	04 DE 18 20 43 20 B2
BruceRFID/Amiibo/Super_Smash_Bros/[SSB]_09_-_Villager.nfc	Amiibo	[SSB]_09_-_Villager	NTAG215	04 B1 05 9F 51 6E EB
